sentence,label
আমি সাদ দিতাম নি,Sylhet
তুমার বুক লাগছে নি?,Sylhet
তুমি যাইরায়গি নি?,Sylhet
তুমি ফাগল নি?,Sylhet
তুমি হাসা কইরায় নি?,Sylhet
আমি তোমারে সাদ দিতাম নি?,Sylhet
তুমি আমারে কোনতা কইরায় নি ?,Sylhet
তুমি আমার কথা হুনরায় না নি?,Sylhet
তুমি সিগারেট খাউ নি,Sylhet
খাইলিছ নি?,Sylhet
হে যে জুরে দৌড়াইত পারে,Sylhet
তুমি শেষ করিলিছ নি,Sylhet
হে দৌড় আরম্ভ করিদিছে,Sylhet
তাইন মাতচইন না,Sylhet
হের চোখ নীল,Sylhet
হের আসি সুন্দর আছিল,Sylhet
আফনার জীবন কিলা যার?,Sylhet
তোমার বাড়ির সব বালা নি?,Sylhet
আমি একজন ছাত্র,Sylhet
আমি পড়াত যাইরাম,Sylhet
আমি মাস্টর নায়,Sylhet
আমার তোমার উফরে বিশ্বাস আছে,Sylhet
আমি ই কাম করতাম পারি,Sylhet
আমি জুরে দৌড়াইতাম পারি,Sylhet
আমার বিশ্বাস অর না,Sylhet
ইগু যে লাম্বা গফ,Sylhet
ইটা একটা পাক্কির মত লাগে,Sylhet
ইটাাত হাসা সময় লাগে,Sylhet
ইগুু যে হস্তা আছিল,Sylhet
ইনো যে ভির আছিল,Sylhet
ইগু যে কঠিন আছিল,Sylhet
ইগু অত হস্তা আছিল না,Sylhet
ইতার কোন দরকার আছিল না,Sylhet
আগে তুকাইতে দেউ,Sylhet
আমারে দেখতে দেউ,Sylhet
আমি আপনার লগে আইতাম নি?,Sylhet
আমি কোনতা কইতাম পারমু নি?,Sylhet
আমি ইকটা খাইতাম পারমু নি?,Sylhet
আমার আব্বা যে লাম্বা,Sylhet
আমার বইনোর চাকরি আছে,Sylhet
আমার বইনের যে নাম আছে,Sylhet
আমার বউ একজন দাক্তারি করইন,Sylhet
"না, আমি পরে খাইমু",Sylhet
ইয়া আল্লাহ বাইরে কেনে বিতরে আইওউকা,Sylhet
একটু কস্ট করি আবার ইটা করিলাউকা,Sylhet
একটুু কস্ট করি আমারে দিলাউকা,Sylhet
হে তানর যে সুনাম করছে,Sylhet
হে আমারে হরিয়া তাকে,Sylhet
হে লাস্টে আইছিল,Sylhet
হে ইস্কুল যায়,Sylhet
ইটা একটাা বালা সিদ্ধান্ত,Sylhet
ইগু আমার বই,Sylhet
হে আমাার ফুয়া,Sylhet
কুত্তা-গুতা মরিগেছে,Sylhet
কুন সন্দে নাই,Sylhet
তারা বিয়া করিলিছে,Sylhet
তারাার কয়টা বই আছে,Sylhet
তারা মাতইন না,Sylhet
এইন আমার বন্ধু,Sylhet
এই ফাকি উড়াল দিত পারে না,Sylhet
অটাই শেষ কথা,Sylhet
ইটা আমার বই,Sylhet
এইন আমার বাই,Sylhet
তাই আমার ফুরি,Sylhet
ইতা ডং নায়,Sylhet
নদী ইগু সুন্দর আছে,Sylhet
কাহিনী ইটা হাসা,Sylhet
আইজ মেঘ দিব নি,Sylhet
তমরা ফাকানিত যাইতায় নি,Sylhet
হে আইব নি,Sylhet
তুমি কিতা আমারে মারিলাইতায় নি,Sylhet
তুমি কিতা আমারে বালা ফাইবায় নি,Sylhet
তুমি অখানো আইবায় নি,Sylhet
আফনে যে সুন্দর,Sylhet
আফনে যে সাহসী,Sylhet
আফনে নিয়ম বাংগিলিছইন,Sylhet
তুমি কিতা আমারে বালা ফাও নি,Sylhet
তুমি আমারে যে খুশি করছো রে বা,Sylhet
তুমি অখন যাও গি,Sylhet
তুমার অখন গুমানি উচিত,Sylhet
আমি তোমারে জালাইরাম না,Sylhet
ইগু কার দারণা,Sylhet
আফনে সাহাইয্য করছইন অতার লাগি ধন্যবাদ,Sylhet
আফনে আইছন যে অটার লাগি ধন্যবাদ,Sylhet
কিতা অবস্তা তুমার,Sylhet
তুমারে দেকিয়া যে বালা লাগের,Sylhet
আমার ইগু বালা লাগে না,Sylhet
আমার কুনতা দারনা নাই,Sylhet
তুমারে খুব ধন্যবাদ,Sylhet
হাফতা বাদে দেকা অইবো নে,Sylhet
সামনর বছর দেকা অইবো নে,Sylhet
জলদি আবার দেখা অইব,Sylhet
কাইলকু দেকা অইবো নে,Sylhet
আমি তুমার লাগি ফাগল,Sylhet
আমি তুমার লাগি ফাগল,Sylhet
তুমার লগে দেকা করিয়া বালা লাগতাছে,Sylhet
ইগু যে হস্তা,Sylhet
খালি থুরা সময়,Sylhet
আফনে যে বালা,Sylhet
আমি ইগুর হাছা পশংসা কররাম,Sylhet
আফনে যে স্মাট,Sylhet
হাছা তুমারে আমি যে মিস কররাম,Sylhet
আফনে কিতা আমারে সাহাইয্য করতায় নি,Sylhet
তুমি কিতা বাড়িত থাকতায় নি,Sylhet
তুমার কুনু কিচ্চু লাগবো নি,Sylhet
তুমার কিতা অও বই ইগুন লাগবো নি,Sylhet
আফনে বালা ফিল কররায় নি,Sylhet
আও অখন আমারে দেকাত,Sylhet
আফনের ফরিবার অর লগে আইন,Sylhet
অও হপ্তাত আমি যে বিজি,Sylhet
বউত টেখা আছে রে বা,Sylhet
তারা বালা মানুষ,Sylhet
আমরার কিছু টেখা লাগবো,Sylhet
তুমি আইজ কিতা কররায়,Sylhet
আমি আফনার লাগি কিতা করতাম ফারি,Sylhet
ই কিতার আওয়াজ আছিল,Sylhet
আমরা কুন সময় খাইমু,Sylhet
আফনে কুন সময় ফড়ালেখা খরইন,Sylhet
ইগু কুন সময় শেষ অইল,Sylhet
আফনার ফরিবার লইয়া কুন্তা খউক্কা,Sylhet
তুমি বুইচ্ছনি,Sylhet
তুমি কিতা আমারে বালা ফাউনি,Sylhet
কামের মাত মাতিও না,Sylhet
আফনারে কিলান সাহাইয্য করতাম ফারি,Sylhet
লেইক ইগু কতখান নিন,Sylhet
আমি আমার ফুলার লাগি গর্বিত,Sylhet
আফনারে জালানির লাগি আমি দুঃখিত,Sylhet
দুয়ার খুলতাম নি,Sylhet
হখলতার লাগি ধন্যবাদ,Sylhet
ই বেফারে আফনার কুনো ধারণা আছেনি,Sylhet
তুমি খৈতনে আইছো,Sylhet
আমারে ইগু লইয়া চিন্তা করতে দেইন,Sylhet
তুমি মাতা বন্ধ করবায় নি,Sylhet
আফনে যাইতানি,Sylhet
তুমি আমারে হিকায়বায় নি,Sylhet
দুয়ারটা বন্ধ খরইন,Sylhet
ইগু বাক্কা বড় রুম আছিল,Sylhet
তাইন আমার লগে একমত,Sylhet
আমরা হাটা আরম্ভ করলাম,Sylhet
আমরা বদলাইতাম ফারি,Sylhet
আমরা ডেইলি রান্দি,Sylhet
ইটা কুনানো দুখফাও,Sylhet
হে কুন সময় জন্মিছে,Sylhet
আমি কুন্তা দেখরাম না,Sylhet
আমি আফনার লগে এখমত নায়,Sylhet
তুমি খেমনে ইস্কুলো আও,Sylhet
আমার ধরো টেখা থাকলে আমি কিনলাম নে,Sylhet
"তাইন আইলে, তানরে কইওইন উবাইতা",Sylhet
"যদি মেঘ ফরে, আমরা ভিজি যাইমু",Sylhet
আমার চুল বাক্কা লাম্বা অইগেছে,Sylhet
আমার আম্মা হকল সময় বাড়িত থাখইন,Sylhet
ই বিলও বাক্কা মাছ আছে,Sylhet
সমাধান করার লাগি আরও বাক্কা ঝামেলা আছে,Sylhet
তার লগে কুনো ভুল নাই,Sylhet
আবহাওয়া আখতা বদলি গেছিল,Sylhet
বাগানো খেউ আছিল না,Sylhet
হিনো খেউ আছিল না,Sylhet
ই মাসও ফাস্টা মাডার অইছে,Sylhet
তারা একজনে আরেকজনের সুনাম করইন,Sylhet
তারা এখলগে কাম করতো রাজি অইছে,Sylhet
তারা দুইজন ওই বালা মাস্টর,Sylhet
আমরা নয়া কিচ্ছু চাই,Sylhet
আমরার খুব সতর্ক হওয়া দরকার,Sylhet
বাদর বার কুন সময় দেখা করতাম ফারি,Sylhet
আফনে কুন সময় খাম শেষ করছইন,Sylhet
তুমি কুন সময় তুমার গম কাটবায়,Sylhet
সুন্দর ফুরি ইগু কুনানো,Sylhet
আমার লঙ্গি কই,Sylhet
আপনার গন্তব্য কিয়ানো,Sylhet
তুমি আমারে বুঝোনা,Sylhet
আমি তোমার কিলা সায্য করতে পারি,Sylhet
আমি বুইঝতে ফারিয়ার না,Sylhet
দয়া খরি বিল দেও,Sylhet
ইকটাত খত খরছ অইবো,Sylhet
আমার ভুল মাফ খরি দিও,Sylhet
এখটা বালা দিন খাটোউক,Sylhet
তোমার লগে দেখা অইয়া বালা লাইগলো,Sylhet
আমি আরি গেছি,Sylhet
আফনে আমারে সাহায্য খরতে ফাইরবায়নি,Sylhet
হখল তাকি খান্দার হাসফাতাল কোন জাগাত,Sylhet
আমার এখজন ডাক্তার লাইগবো,Sylhet
তোমার ফছন্দর খানি কিতা,Sylhet
ইগুর বানান কিলা,Sylhet
তুমি কিয়ানো থাখো,Sylhet
আমারে এক গ্লাস ফানি দিবায়নি,Sylhet
আইজখোর আবহাওয়া কিলা,Sylhet
আমারে মুদিখানা লওয়া লাইগবো,Sylhet
আফনে দয়া কইরা আমারে নুন আজ্ঞাইয়া দিতা ফারবাইননি,Sylhet
আমি মাথাত দুঃখ ফাইয়ার,Sylhet
হখল তাকি খান্দার ফার্মেসি কিয়ানো,Sylhet
তোমার দিন কিলা আছিল,Sylhet
দয়া খরি আমারে এখটা মেনু দেও,Sylhet
তোমার ফছন্দর রং কোনটা,Sylhet
তোমার কোন ভাই-বইন আছইন নি,Sylhet
আমার ৩টাত এখটা মিটিং আছে,Sylhet
তুমি গত সাপ্তাত কিয়ানো গেছলায়,Sylhet
তোমার ফছন্দর চলচ্চিত্র কোনটা,Sylhet
আমার উঠবার সম একখান কফি লাগব,Sylhet
হখল তাকি খান্দার এটিএম কিয়ানো,Sylhet
আমার ফোনে খাম খরের না,Sylhet
আমি তোড়া বাদে ফিরমু,Sylhet
তোমার ছক্কাইতে/ঘুরতে ভাল্লাগেনি,Sylhet
দয়া খরি আমারে এখটা খলম দেও,Sylhet
তোমার ফোন নাম্বার কোনটা,Sylhet
আমি কিতা ওয়াইফাই পাসওয়ার্ড দিতাম নি,Sylhet
তুমি কিয়ানো অতো বালা রান্দা হিকলায়,Sylhet
চলো আটিয়া যাই,Sylhet
আমি কিতা তোমার বই খরজ নিতে ফারিনি,Sylhet
আমার খাইল এখদিনর ছুট্টি আছে,Sylhet
"ছিন্তা খরিও না, হখল তা ঠিক অই যাইব",Sylhet
আমার এখটা হেমান/প্রাণী কুকুর আছে,Sylhet
আমার আইজ এখটা ছাখরির ইন্টারভিউ আছে,Sylhet
তোমার ফছন্দর ঝতু কোনটা,Sylhet
তোমার সাফতার শেষে কোন পরিকল্পনা আছে,Sylhet
আপনি এখটা বালা রেস্তোরাঁর নাম খইতে ফইরবায়নি,Sylhet
আফনে খামও যাওয়ার লাগি কিলা যাও,Sylhet
আমি বাঙালি হিকিয়ার,Sylhet
তোমার ফছন্দের বই কোনটা,Sylhet
আমি কিতা তোমার এখটু সময় ফাইতে ফারিনি,Sylhet
আমার ঠান্ডা অইছে,Sylhet
তুমি কিয়ানো তোমার হুরুবালা খাটাইছো,Sylhet
তোমার কোন হেমান/প্রাণী আছে নি,Sylhet
ইকটা আইজ এখটা সুন্দর দিন,Sylhet
তুমি দয়া খরি আমারে সংবাদপত্র ফাটাইতে ফাইরবায়নি,Sylhet
আমি বাজারো যাইয়ার,Sylhet
তোমার নাইচতে ভাল্লাগেনি,Sylhet
আমার এখটা নয়া জুতা দরকার,Sylhet
আমার এখটা দাঁতর ডাক্তারোর এপয়েন্টমেন্ট আছে,Sylhet
হখল তাকি খান্দার বাস,Sylhet
আমি এখটা টুকরা কেক ফাইমুনি,Sylhet
আমি গান উনতে বালা ফাই,Sylhet
আমি আমার দাদা-দাদিরে দেখাত যাইয়ার,Sylhet
তুমি তোমার শেষ ছুট্টিত কিয়ানো গেছলায়,Sylhet
আফনে কিতা আমারে তার কুকিং হিখাইতে ফইরবায়নি,Sylhet
আমি লাইব্রেরীত যাইয়ার,Sylhet
বাংলাদেশর রাজধানী কিতা,Sylhet
আমি মাদানে এখটা ঘুম দেয়া বালা পাই,Sylhet
তোমার কোন এলার্জি আছে নি,Sylhet
আমি তীক্ষ্ণ খানি বালা ফাই না,Sylhet
আফনার আওয়ার খারণ কিতা,Sylhet
আফনে কিতা এখটা বালা চলচ্চিত্র সুপারিশ খরতে ফাইরবানি,Sylhet
আমি আগামীখাইল এখটা বিয়াত যাইয়ার,Sylhet
আফনে কিতা ছা না কফি ফছন্দ খরইন,Sylhet
আমি বিয়ানে ব্যায়াম খরতে বালা ফাই,Sylhet
আমি কিতা আর তোড় ফাইমুনি,Sylhet
আমার এখ বন্ধু বাংলাদেশ তাকি আইছে,Sylhet
আমি ঘুমানির আগে বই ফড়তে বালা ফাই,Sylhet
আফনে কিতা বালা এখটা রেস্তুরা সুপারিশ খরতে ফাইরবানি,Sylhet
আমি আইজ রাইত এখটা চলচ্চিত্র দেখাত যাইয়ার,Sylhet
তোমার ফছন্দর সংগীত কোন জাতর,Sylhet
আমার এখটা জন্মদিনর উপহার লওয়া লাইগবো,Sylhet
আমি কিতা তোমার ইমেইল ঠিকানা ফইমুনি,Sylhet
ঘুমানিত যাওয়ার সময় অইগেছে,Sylhet
আইজ খত তারিখ,Sylhet
আমার অনেক খাম খরা লাইগবো,Sylhet
আমার ফছন্দর রং নীল,Sylhet
আফনে কিতা দয়া খরি অখটাতা টা আবার খইতে ফাইরবায়নি,Sylhet
ছলো ড্রাইভো যাই,Sylhet
আমারে ফোন কল খরা লাইগবো,Sylhet
আমার জন্মদিন জুনো,Sylhet
আফনে কিতা দয়া খরি আলো বন্ধ খরতে ফাইরবানি,Sylhet
আমি এখটা নতুন ছাখরি খুঁজিয়ার,Sylhet
তোমার এখন কিলা লাগের,Sylhet
আমি তীক্ষ্ণ খানি খাইতে ভাল ফাই না,Sylhet
আফনে কিতা আমারে গাড়ি ছালানি হিকাইতে ফাইরবানি,Sylhet
তোমার ফছন্দর খেলা কোনটা,Sylhet
দয়া খরি তোমার ফিছোনোর দরজাটা বন্ধ খর,Sylhet
আফনে কিলা হখলদিন খামো যাইন,Sylhet
আমার ফছন্দর হেমান/প্রাণী এখটা কুকুর,Sylhet
আমি ছুট্টিত যাওয়ার ছিন্তা খরিয়ার,Sylhet
আফনে কিতা দয়া খরি আস্তে আস্তে খথা খইতে ফাইরবানি,Sylhet
তোমার সাপ্তহান্ত কিলা আছিল,Sylhet
আমারে বিমানবন্দর যাইতে অইবো,Sylhet
তোমার ফছন্দর খাম কিতা,Sylhet
দয়া খরি আমার অনো অফেক্ষা খরউককা,Sylhet
আমার এখটা নতুন ফোন লওয়া লাইগবো,Sylhet
তোমার ফছন্দর খাবার কোনটা,Sylhet
আমি জিমো যাইয়ার,Sylhet
আমি কিতা আর কফি ফাইমুনি,Sylhet
তুমি কিলা তোমার হাইঞ্জাবালায়‌ সময় কাটাও,Sylhet
আমি গোধূলি দেইখতে বালা ফাই,Sylhet
আফনে কিতা এখটা বালা বই ফড়ার লাগি সুপারিশ খরতে ফাইরবানি,Sylhet
আমার এখটা ছুটি দরখার,Sylhet
আমার ফছন্দর বিষয় বিজ্ঞান,Sylhet
আফনে কিতা আমার হোমওয়ার্কো সাহায্য খরতে ফাইরবানি,Sylhet
আমি ভোরে উঠতে বালা ফাইনা,Sylhet
আমি আইজ রাইত এখটা কনসার্টো যাইয়ার,Sylhet
তোমার ফছন্দর চলচ্চিত্র কোন‌‌ জাতর,Sylhet
আফনে কিতা ভাল খাওয়ার লাগি এখটা বালা স্থান সুপারিশ খরতে ফাইরবায়নি,Sylhet
আমার আগামীখাইল একটা দাঁতর ডাক্তারোর এপয়েন্টমেন্ট আছে,Sylhet
আমি কিতা এখটা গ্লাস ফানি ফাইমুনি,Sylhet
আমি ফরোর সাপ্তাত আমার ফরিবার দেখাত যাইয়ার,Sylhet
তোমার সইন্ধ্যাত কোন পরিকল্পনা আছে নিতা?,Sylhet
তুমি কিলা আবহাওয়া বালা ফাও,Sylhet
দয়া কইরা আমারে আফন মনে কর,Sylhet
আমি কিতা বিল পাইমু,Sylhet
আমি আইজকা রাইতকালা নাট্যশালাত যাইরাম,Sylhet
তুমি কোন ছুটি বালা ফাও,Sylhet
আমি কালকা একটা অনুষ্ঠানত যাইরাম,Sylhet
তুমি কিতা রানতে বালা ফাও,Sylhet
আমি এই সপ্তা সৈকত যাইরাম,Sylhet
আমার কিছু কিনাকাটা করন লাগব,Sylhet
তোমার কিলা সঙ্গীত বালা লাগে,Sylhet
আমি ফরের মাসো একখান বিয়াত যাইরাম,Sylhet
আফনে কিতা একখান বালা দর্শনীয় জাগা সুপারিশ করতে পারবায় নি,Sylhet
আমার একখান নয়া ল্যাপটপ কিনন লাগব,Sylhet
তোমার কিলা মিষ্টান্ন বালা লাগে,Sylhet
আপনি কিতা কষ্ট কইরা ভলিউম বাড়াইবার চেষ্টা কররে পারবায় নি,Sylhet
আমি পরের সাপ্তা একখান চাকরির পরিক্ষা দিতে যাইরাম,Sylhet
তোমার কিলা ব্যায়াম বালা লাগে,Sylhet
দয়া কইরা দুইখান সিট ধইরা রাকইন,Sylhet
আমি কালকা একখান ব্যাবসায়িক বৈঠকঅ যাইরাম,Sylhet
আফনে কিতা আমার লগে আমার ব্যাগ ধরতে পারবায় নি,Sylhet
তোমার কিলা ফল বালা লাগে,Sylhet
আমি আমার বন্ধু অগলের লগে পার্কে যাইরাম,Sylhet
আফনে কিতা কষ্ট কইরা আমারে মেনুখান আজ্ঞাইয়া দিতে পারবাই নি?,Sylhet
আমি বাদর মাসও এখটা গানের কনসার্টও যাইরাম,Sylhet
তুমার ফছন্দের ফুলর নাম কিতা,Sylhet
দয়া কইরা ঢুকবার আগে আফনের জুতা খুলইন,Sylhet
আমি আইজকা রাইতে একখান কমেডি শোত যাইরাম,Sylhet
আমার একখান নয়া জামা কিনন লাগব,Sylhet
তোমার কিলা শিল্প বালা লাগে,Sylhet
আফনে কিতা দয়া কইরা আমারে কম্পিউটারে সাহাইয্য করতে পারবায় নি,Sylhet
আমি পরের সাপ্তা একখান জাদুঘরে যাইরাম,Sylhet
দয়া কইরা একখান সিট লইন আর খুশি থাকইন,Sylhet
আমি পাহাড়অ হাইকিং করতে যাইরাম,Sylhet
আফনে কিতা দয়া কইরা আমারে রিমোট কন্ট্রোল আজ্ঞাইয়া দিতে পারবায় নি,Sylhet
আমি পরের মাসত একখান নৃত্য দেখতে যাইরাম,Sylhet
তুমি কিলা পানীয় বালা ফাও,Sylhet
আমি একখান কার্যকর শিখার অ্যাপসের একখান সেমিনারে যাইরাম,Sylhet
আমি এই সাপ্তা একখান খেলাত যাইরাম,Sylhet
তোমার কিলা রুটি বালা লাগে,Sylhet
দয়া কইরা দেরি করিয়েন না,Sylhet
আমি পরের মাসঅ একখান ছবির প্রদর্শনীত যাইরাম,Sylhet
আফনে কিতা আমারে দয়া কইরা সালাদ আজ্ঞাইয়া দিতে পারবায় নি,Sylhet
আমি আইজকা রাইতে একখান কমেডি ক্লাবে যাইরাম,Sylhet
তোমার কিলা পাস্তা বালা লাগে,Sylhet
তোমার ভাষা শিকার লাগি কিলা অ্যাপ বালা লাগে,Sylhet
আমি পরের সাপ্তা একখান রান্নার কামঅ যাইরাম,Sylhet
তোমার কিলা সবজি বালা লাগে,Sylhet
"দয়া কইরা মাইত্ত না, আমি মনোনিবেশ কররাম",Sylhet
আমি ফরের মাসঅ একখান সিমেমা দেকতে যাইরাম,Sylhet
আমি ফরের সাপ্তা একখান ছেরেটি ইভেন্টঅ যাইরাম,Sylhet
তোমার কিলা চকলেট ভালা লাগে,Sylhet
আফনে কিতা একখান বালা জাগা কইতা পারবায় নি ঘোরার লাইজ্ঞা,Sylhet
মিটিং অর সমঅ আফনের ফোন বন্ধ রাকুন,Sylhet
আমি ফরের মাসঅ একখান ফ্যাশন শোত যাইরাম,Sylhet
তোমার কলা সুপ বালা লাগে,Sylhet
আফনে কিতা দয়া কইরা আমারে মাখন আজ্ঞাইয়া দিতা পারবায় নি,Sylhet
আমি ফরের সাপ্তা একখান প্রযুক্তি কনফারেন্সঅ যাইরাম,Sylhet
তোমার কিলা স্যান্ডউইচ বালা লাগে,Sylhet
আমি ফরের মাসঅ একখান কবিতা ফড়ার ইভেন্টঅ যাইরাম,Sylhet
আমি ফরের মাসঅ একখান কবিতা ফড়ার ইভেন্ট যাইরাম,Sylhet
তোমার কিলা আইস্ক্রিম বালা লাগে,Sylhet
দয়া কইরা দরজা খুইল্লা রাকতে বুল্লইন না,Sylhet
আমি ফরের মাসঅ একখান ধ্যান অবস্থাত যাইরাম,Sylhet
আফনে কিতা দয়া কইরা আমারে কেচাপ আজ্ঞাইয়া দিতা পারবায় নি,Sylhet
আফনে কিতা দয়া কইরা আমারে ন্যাপকিন আজ্ঞাইয়া দিতা পারবায় নি,Sylhet
আমি ফরের মাসঅ একখান গ্রন্থাগারের সভাত যাইরাম,Sylhet
তোমার কিলা রস বালা লাগে,Sylhet
দয়া কইরা কইন আমার কথা কিতা আফনে বুঝতে ফারতাছইন নি,Sylhet
আমি ফরের মাসঅ একখান বাগান করবার কারখানাত যাইরাম,Sylhet
তোমার কলা কেক বালা লাগে,Sylhet
আফনে কিতা একখান বালা জাগা সুপারিশ করতে পারবায় নি একটা ফিকনিক করবার লাইজ্ঞা,Sylhet
আমি ফরের সপ্তাত একখান প্রযুক্তি এক্সপোত যাইরাম,Sylhet
তোমার কিলা মদ বালা লাগে,Sylhet
আফনে কিতা দয়া কইরা আমারে ন্যাপকিন আজ্ঞাইয়া দিতা পারবায় নি,Sylhet
আমি ফরের মাসঅ একখান চলচিত্রের প্রিমিয়ারঅ যাইরাম,Sylhet
তোমার কিলা বিস্কুট বালা লাগে,Sylhet
আফনে কিতা একখান বালা জাগা সুপারিশ করতে পারবায় নি একটা হাইকিং করবার লাইজ্ঞা,Sylhet
আমি আইজ রাইতে একখান কমেডি চলচিত্রে যাইরাম,Sylhet
তোমার কিলা সস বালা লাগে,Sylhet
আফনে কিতা দয়া কইরা ই দলিলখানের একখান ফটোকফি বানাইতে পারবায় নি,Sylhet
আমি আইজ রাইতে একখান কবিতা আবৃত্তির অনুষ্টানঅ যাইরাম,Sylhet
তোমার কিলা কফি বালা লাগে,Sylhet
আমার একখান নয়া ফোন চার্জার কিনন লাগব,Sylhet
তোমার কিলা খেলা বালা লাগে,Sylhet
আফনে কিতা দয়া কইরা জানালাডা বন্ধ করতা পারবায় নি,Sylhet
আমি ফরের সাপ্তাত একখান কমেডি ক্লাবে যাইরাম,Sylhet
তোমার কিলা পিৎজা বালা লাগে,Sylhet
তোমার কিলা ডিজার্ট বালা লাগে,Sylhet
তোমার কিলা বই বালা লাগে,Sylhet
আমি ফরের মাসঅ একখান বিজ্ঞান প্রদর্শনীত যাইরাম,Sylhet
আফনে কিতা দয়া কইরা আমারে নুন আজ্ঞাইয়া দিতা পারবায় নি,Sylhet
আমার একখান নয়া জুতা কিনন লাগব,Sylhet
আফনে কিতা হাইট্টা যাইবার লাইজ্ঞা একখান বালা জাগা সুপারিশ করতে পারবায় নি,Sylhet
তোমার কিলা চা বালা লাগে,Sylhet
দয়া কইরা আফনে যদি বুল না করেন আফনের আইডি লইয়াইন,Sylhet
আমার পার্টিত একখান নয়া শার্ট কিনন লাগব,Sylhet
আফনে কিতা একখান বালা জাগা সুপারিশ করতে পারবায় নি একটা সাঁতার কাটবার লাইজ্ঞা,Sylhet
আমি ফরের মাসঅ একখান সৈকত ফার্টিত যাইরাম,Sylhet
তোমার কিলা টুপি বালা লাগে,Sylhet
দয়া কইরা মিটিংয়ের লাইজ্ঞা দেরি করবায় না,Sylhet
আমার আইজ রাইত হোমওয়ার্ক শেষ করন লাগব,Sylhet
দয়া কইরা বুল না কইরা আফনের ছাতি লইয়াইন,Sylhet
আফনে কিতা আমার গণিতের সমস্যাটা সমাধান খরিয়া দিবানি,Sylhet
আমি ফড়ার লাগি লাইবেরিত যাইরাম,Sylhet
স্কুলও তুমার ফছন্দের বিষয় কিতা,Sylhet
আফনে আমারে ওউ বেফারটা ভাঙ্গিয়া খইতে ফারবানি,Sylhet
আমার ফরিক্ষার লাগি ফড়া লাগবো,Sylhet
এসাইনমেন্ট জমা দেওয়ার লাস্ট তারিখ কোনটা,Sylhet
আফনে আমারে এখটা বালা বই সাজেস্ট খরতা ফারবানি,Sylhet
আমি স্কুলের লাইজ্ঞা কিছু স্টেশনারি কিনন লাগব,Sylhet
তুমি কিলান খলম ফছন্দ খরো,Sylhet
আমি বাদর মাসও এখটা বিজ্ঞান মেলাত যাইরাম,Sylhet
আফনে আমারে ওউ উপপাদ্যটা বুঝাইয়া দিতা ফারবানি,Sylhet
আমার ক্লাসের লাগি এখটা গবেষণা পত্র লেখা লাগবো,Sylhet
তুমি কিলান নোটবুক ফছন্দ করো,Sylhet
আফনে আমারে বিজ্ঞানের ব্যাফারে সাহায্য করতা ফারবানি,Sylhet
আমি সাহিত্যের এখটা লেকচারও যাইরাম,Sylhet
তুমি কিলান রোলার ফছন্দ করো,Sylhet
আফনে আমারে পড়ালেখার লাগি এখটা বালা ওয়েবসাইট সাজেস্ট খরতা ফারবানি,Sylhet
আমি ইতিহাসের এখটা সেমিনারও যাইরাম,Sylhet
,
কেমত আছো?,Mymensingh
আইজ আমার মন ভালা নাই,Mymensingh
তুমি কিতা করো?,Mymensingh
এই গরমডাত আমার কিছু ভালা লাগে না,Mymensingh
ছেড়াটা সাদা রংগের একটা শার্ট পইড়া আইছিল,Mymensingh
ছেড়িটা লাল রংগের শাড়ি পইরা আমার সাথে দেখা করতে আইসিল,Mymensingh
ছেড়াটা সিলেটতন ঢাকাত আইসে,Mymensingh
ছেড়িটা সিলেট থাইকা আসা অই ছেড়াটারে অনেক ভালবাসে,Mymensingh
ছেড়াটা ছেড়িটারে এখনো ভালবাসার চোখে দেখে নাই,Mymensingh
ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,Mymensingh
আমার অনেকদিন আগে একবার বিয়া হইছিল,Mymensingh
আমার মা আমারে কইসিল বিয়া হইলে জীবন বদলায়া যায়,Mymensingh
আম্মা অইদিন ঠিক কথাই কইসিল,Mymensingh
আম্মা সব সময় আমার মনের কথা বুঝে,Mymensingh
আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,Mymensingh
আমার ঘরের কামের ছেড়িটা দুইদিন ধইরা পালাইছে,Mymensingh
আমার বাড়ির দারওয়ান এহন অর গ্রামে ঘুরতে গেছে,Mymensingh
তোমারে আমি কল দিতাম না,Mymensingh
এই জিনিসটা অনেক বিরক্তিকর আছিল,Mymensingh
সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,Mymensingh
সে এহন রাজশাহী চইলা গেসে,Mymensingh
সে এহন তার বন্ধুরার সাথে সিগারেট খায়,Mymensingh
সে এক্কেরেই হাসেনা,Mymensingh
সে আমারে অপমান করে,Mymensingh
তার বই পড়তে এক্কেরেই ভালালাগেনা,Mymensingh
আফনের কি বই পড়ার অভ্যাস আসে?,Mymensingh
তুমি কি আমারে চিনো?,Mymensingh
আমি তোমারে চিনতে পারলাম না,Mymensingh
আমি তোমারে আগে কখনো দেখি নাই,Mymensingh
আমার পড়ালেহা করতে এক্কেরেই ভালালাগেনা,Mymensingh
আপনের পড়ালেহা করা দরকার,Mymensingh
আপনের পড়ালেহা করতে হইব,Mymensingh
আপনের কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,Mymensingh
তর পড়ালেহা করতে হইব,Mymensingh
তুই কি আর পড়ালেহা করতি নাহ?,Mymensingh
তুই কি পড়ালেহা ছাইরা দিতে চাস?,Mymensingh
